Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
GNU Radio,Open-source SDR toolkit and signal processing framework,gnuradio-companion | gnuradio-config-info | gr_modtool | gr_plot_* | grcc,✅,✅,✅,gnuradio_soft_install,✅
gr-osmosdr,Common source/sink blocks for SDR hardware,Part of GNU Radio,✅,✅,✅,common_sources_and_sinks,✅
SoapySDR modules,Device abstraction layer for SDR hardware,SoapySDRUtil | SoapySDRServer,✅,✅,✅,install_soapy_modules,✅
SoapyPlutoSDR,PlutoSDR support for SoapySDR,SoapySDR PlutoSDR module,✅,✅,✅,install_soapyPlutoSDR_modules,✅
KC908 Spectrum Analyzer,DEEPACE KC908 spectrum analyzer software,KC908,✅,❌,❌,kc908_sa_device,✅
SoapyRFNM,RFNM device support for SoapySDR,SoapySDR RFNM module,✅,✅,❌,soapyrfnm_grmod_install,✅
SoapyHydraSDR,HydraSDR RFOne support for SoapySDR,SoapySDR HydraSDR module,✅,✅,✅,hydrasdr_rfone_soapy_install,✅
SoapyHarogic,Harogic device support for SoapySDR,SoapySDR Harogic module,✅,✅,❌,soapyharogic_grmod_install,✅
gr-bladerf,bladeRF GNU Radio blocks,GNU Radio bladeRF blocks,✅,✅,✅,grbladerf_grmod_install,✅
gr-signal-hound,Signal Hound device GNU Radio support,GNU Radio Signal Hound blocks,✅,✅,❌,grsignalhound_Receiver_grmod_install,✅
gr-htra,Harogic HTRA GNU Radio blocks,GNU Radio HTRA blocks,✅,❌,❌,grhtra_grmod_install,✅
GQRX,Software-defined radio receiver powered by GNU Radio,gqrx,✅,✅,✅,gqrx_soft_install,✅
multimon-ng,Digital decoder for multiple radio transmission modes,multimon-ng,✅,✅,✅,multimon_ng_soft_install,✅
Universal Radio Hacker (URH),Wireless protocol investigation and reverse engineering,urh,✅,✅,✅,urh_soft_install,✅
Inspectrum,Offline radio signal analyzer,inspectrum,✅,✅,✅,inspectrum_soft_install,✅
rtl_433,Generic data receiver for ISM band devices,rtl_433,✅,✅,✅,rtl_433_soft_install,✅
retrogram-rtlsdr,Retro text-mode spectrogram for rtl-sdr,retrogram-rtlsdr,✅,✅,✅,retrogram_soapysdr_soft_install,✅
LuaRadio,Lightweight real-time SDR framework in Lua,luaradio,✅,✅,✅,luaradio_sdr_soft_install,✅
dump1090,Mode S ADS-B decoder for aircraft tracking,dump1090,✅,✅,✅,dump1090_soft_install,✅
readsb,Improved Mode S/ADS-B decoder,readsb,✅,✅,✅,readsb_soft_install,✅
dumpvdl2,VDL Mode 2 decoder for aircraft ACARS,dumpvdl2,✅,✅,✅,dumpvdl2_soft_install,✅
dumphfdl,HFDL decoder for HF aircraft communications,dumphfdl,✅,✅,✅,dumphfdl_soft_install,✅
SDR++,Cross-platform SDR software with modern interface,sdrpp,✅,✅,✅,sdrpp_soft_fromsource_install,✅
SDR++ Extra Modules,Additional demodulators and sources for SDR++,SDR++ plugins,✅,✅,✅,sdrpp_extramodules_install,✅
Jupyter Notebook,Interactive computing environment for SDR experiments,jupyter | jupyter-notebook,✅,✅,✅,jupyter_soft_install,✅
Leo Bodnar GPSDO v1,Calibration tool for Leo Bodnar GPS reference v1,leobodnar-gpsdo-v1,✅,✅,✅,leobodnarv1_cal_device,✅
Leo Bodnar GPSDO v2,Calibration tool for Leo Bodnar GPS reference v2,leobodnar-gpsdo-v2,✅,✅,✅,leobodnarv2_cal_device,✅
KCSDI,Calibration utilities for KC series devices,kcsdi,✅,✅,✅,KCSDI_cal_device,✅
NanoVNASaver,VNA software for NanoVNA devices,NanoVNASaver,✅,✅,✅,NanoVNASaver_cal_device,✅
NanoVNA-QT,Qt-based software for NanoVNA,nanovna-qt,✅,✅,✅,NanoVNA_QT_cal_device,✅
GNSSLogger,GNSS logging and calibration tool,gnsslogger,✅,✅,✅,gnsslogger_cal_device,✅
LibreVNA,Open-source Vector Network Analyzer software,LibreVNA,✅,✅,✅,librevna_cal_device_buildx,✅
xnec2c,NEC2 antenna modeling software,xnec2c,✅,✅,✅,xnec2c_cal_device,❌ (broken - fix source)
GNSS-SDR,Global Navigation Satellite Systems software receiver,gnss-sdr,✅,✅,✅,gnss_sdr_soft_install,✅
Artemis,SDR-based RF spectrum monitoring,artemis,✅,✅,✅,artemis_soft_install,✅
GQRX Scanner,Frequency scanner plugin for GQRX,gqrx-scanner,✅,✅,✅,gqrxscanner_sdr_soft_install,✅
Lotus BUDC Tuner,Lotus BUDC tuning device support,lotus-budc,✅,✅,✅,lotus_budc_tune_device,✅